"Parameter","ExpectedValue","ActualValue","Result","PerformedAt"
"VMName","HRT-DC01","HRT-DC01","Pass","1/10/2023 10:55:06 AM"
"CPU","2","2","Pass","1/10/2023 10:55:06 AM"
"MemoryinGB","8","8","Pass","1/10/2023 10:55:06 AM"
"AzureVMType","Standard D2as v5 ","Standard_D2as_v5","Fail","1/10/2023 10:55:06 AM"
"ManagedDisk","TRUE","True","Pass","1/10/2023 10:55:06 AM"
"OSDiskInGB","128","128","Pass","1/10/2023 10:55:06 AM"
"DataDiskInGB","NA",,"Fail","1/10/2023 10:55:06 AM"
"TempDisk","NA","0","Fail","1/10/2023 10:55:06 AM"
"Operating System","Windows (Windows Server 2012 R2 Standard)"," ","Fail","1/10/2023 10:55:06 AM"
"Tag - Product | product-name","directcloud",,"Fail","1/10/2023 10:55:06 AM"
"Tag - business-unit","tte","tte","Pass","1/10/2023 10:55:06 AM"
"Tag - team","css","css","Pass","1/10/2023 10:55:06 AM"
"Tag - billing","prod","prod","Pass","1/10/2023 10:55:06 AM"
"Tag - environment","NA","prod","Fail","1/10/2023 10:55:06 AM"
"Tag - Primary-contact-email","keith_weitz@trimble.com","keith_weitz@trimble.com","Pass","1/10/2023 10:55:06 AM"
"Tag - Primary-contact-name","Keith Weitz","Keith Weitz","Pass","1/10/2023 10:55:06 AM"
"Tag - customer | customer-name","12345678","12345678","Pass","1/10/2023 10:55:06 AM"
"Tag - automation-opt-in","no","no","Pass","1/10/2023 10:55:06 AM"
"RGLock","TRUE","True","Pass","1/10/2023 10:55:06 AM"
"IPAddress","172.22.151.68","172.22.151.68","Pass","1/10/2023 10:55:06 AM"
"GuestLevelMonitoring","TRUE","True","Pass","1/10/2023 10:55:06 AM"
"Storage account","hrtstorageaccount","hrtstorageaccount","Pass","1/10/2023 10:55:06 AM"
"BackupVault","hrtrecoveryvault","hrtrecoveryvault","Pass","1/10/2023 10:55:06 AM"
"vNet","Vnet-Eastus2-HRT","Vnet-Eastus2-HRT","Pass","1/10/2023 10:55:06 AM"
"SubnetName","Subnet-Eastus2-HRT","Subnet-Eastus2-HRT","Pass","1/10/2023 10:55:06 AM"
"HybridBenefit","FALSE","False","Pass","1/10/2023 10:55:06 AM"
"ResourceGroup","HRT_Heritage_Transport","HRT_HERITAGE_TRANSPORT","Pass","1/10/2023 10:55:06 AM"
