"Parameter","ExpectedValue","ActualValue","Result","PerformedAt"
"VMName","HRT-DC01",,"Fail","1/10/2023 10:35:40 AM"
"CPU","2",,"Fail","1/10/2023 10:35:40 AM"
"MemoryinGB","8",,"Fail","1/10/2023 10:35:40 AM"
"AzureVMType","Standard D2as v5 ",,"Fail","1/10/2023 10:35:40 AM"
"ManagedDisk","TRUE",,"Fail","1/10/2023 10:35:40 AM"
"OSDiskInGB","128",,"Fail","1/10/2023 10:35:40 AM"
"DataDiskInGB","NA",,"Fail","1/10/2023 10:35:40 AM"
"TempDisk","NA",,"Fail","1/10/2023 10:35:40 AM"
"Operating System","Windows (Windows Server 2012 R2 Standard)",,"Fail","1/10/2023 10:35:40 AM"
"Tag - Product | product-name","directcloud",,"Fail","1/10/2023 10:35:40 AM"
"Tag - business-unit","tte",,"Fail","1/10/2023 10:35:40 AM"
"Tag - team","css",,"Fail","1/10/2023 10:35:40 AM"
"Tag - billing","prod",,"Fail","1/10/2023 10:35:40 AM"
"Tag - environment","NA",,"Fail","1/10/2023 10:35:40 AM"
"Tag - Primary-contact-email","keith_weitz@trimble.com",,"Fail","1/10/2023 10:35:40 AM"
"Tag - Primary-contact-name","Keith Weitz",,"Fail","1/10/2023 10:35:40 AM"
"Tag - customer | customer-name","12345678",,"Fail","1/10/2023 10:35:40 AM"
"Tag - automation-opt-in","no",,"Fail","1/10/2023 10:35:40 AM"
"RGLock","TRUE",,"Fail","1/10/2023 10:35:40 AM"
"IPAddress","172.22.151.68",,"Fail","1/10/2023 10:35:40 AM"
"GuestLevelMonitoring","TRUE",,"Fail","1/10/2023 10:35:40 AM"
"Storage account","hrtstorageaccount",,"Fail","1/10/2023 10:35:40 AM"
"BackupVault","hrtrecoveryvault",,"Fail","1/10/2023 10:35:40 AM"
"vNet","Vnet-Eastus2-HRT",,"Fail","1/10/2023 10:35:40 AM"
"SubnetName","Subnet-Eastus2-HRT",,"Fail","1/10/2023 10:35:40 AM"
"HybridBenefit","FALSE",,"Fail","1/10/2023 10:35:40 AM"
"ResourceGroup","HRT_Heritage_Transport",,"Fail","1/10/2023 10:35:40 AM"
