"Parameter","ExpectedValue","ActualValue","Result","PerformedAt"
"VMName","HRT-AGT02","HRT-AGT02","Pass","1/10/2023 2:24:17 PM"
"CPU","2","2","Pass","1/10/2023 2:24:17 PM"
"MemoryinGB","4","4","Pass","1/10/2023 2:24:17 PM"
"AzureVMType","Standard_F2s_v2 ","Standard_F2s_v2","Fail","1/10/2023 2:24:17 PM"
"ManagedDisk","TRUE","True","Pass","1/10/2023 2:24:17 PM"
"OSDiskInGB","128","128","Pass","1/10/2023 2:24:17 PM"
"DataDiskInGB","NA","NA","Pass","1/10/2023 2:24:17 PM"
"TempDisk","NA","NA","Pass","1/10/2023 2:24:17 PM"
"Operating System","Windows (Windows Server 2012 R2 Standard)"," ","Fail","1/10/2023 2:24:17 PM"
"Tag - Product | product-name","directcloud",,"Fail","1/10/2023 2:24:17 PM"
"Tag - business-unit","tte",,"Fail","1/10/2023 2:24:17 PM"
"Tag - team","css","css","Pass","1/10/2023 2:24:17 PM"
"Tag - billing","prod","prod","Pass","1/10/2023 2:24:17 PM"
"Tag - environment","NA","NA","Pass","1/10/2023 2:24:17 PM"
"Tag - Primary-contact-email","keith_weitz@trimble.com","keith_weitz@trimble.com","Pass","1/10/2023 2:24:17 PM"
"Tag - Primary-contact-name","Keith Weitz","Keith Weitz","Pass","1/10/2023 2:24:17 PM"
"Tag - customer | customer-name","12345678","12345678","Pass","1/10/2023 2:24:17 PM"
"Tag - automation-opt-in","no","no","Pass","1/10/2023 2:24:17 PM"
"RGLock","TRUE","True","Pass","1/10/2023 2:24:17 PM"
"IPAddress","172.22.151.72","172.22.151.72","Pass","1/10/2023 2:24:17 PM"
"GuestLevelMonitoring","TRUE","True","Pass","1/10/2023 2:24:17 PM"
"Storage account","hrtstorageaccount","hrtstorageaccount","Pass","1/10/2023 2:24:17 PM"
"BackupVault","hrtrecoveryvault",,"Fail","1/10/2023 2:24:17 PM"
"vNet","Vnet-Eastus2-HRT","Vnet-Eastus2-HRT","Pass","1/10/2023 2:24:17 PM"
"SubnetName","Subnet-Eastus2-HRT","Subnet-Eastus2-HRT","Pass","1/10/2023 2:24:17 PM"
"HybridBenefit","FALSE","False","Pass","1/10/2023 2:24:17 PM"
"ResourceGroup","HRT_Heritage_Transport","HRT_HERITAGE_TRANSPORT","Pass","1/10/2023 2:24:17 PM"
