"Parameter","ExpectedValue","ActualValue","Result","PerformedAt"
"VMName","HRT-APP01","HRT-APP01","Pass","1/10/2023 2:27:43 PM"
"CPU","2","2","Pass","1/10/2023 2:27:43 PM"
"MemoryinGB","16","16","Pass","1/10/2023 2:27:43 PM"
"AzureVMType","Standard_E2as_v5","Standard_E2as_v5","Pass","1/10/2023 2:27:43 PM"
"ManagedDisk","TRUE","True","Pass","1/10/2023 2:27:43 PM"
"OSDiskInGB","150","150","Pass","1/10/2023 2:27:43 PM"
"DataDiskInGB","NA","NA","Pass","1/10/2023 2:27:43 PM"
"TempDisk","NA","NA","Pass","1/10/2023 2:27:43 PM"
"Operating System","Windows (Windows Server 2012 R2 Standard)"," ","Fail","1/10/2023 2:27:43 PM"
"Tag - Product | product-name","directcloud",,"Fail","1/10/2023 2:27:43 PM"
"Tag - business-unit","tte","tte","Pass","1/10/2023 2:27:43 PM"
"Tag - team","css","css","Pass","1/10/2023 2:27:43 PM"
"Tag - billing","prod","prod","Pass","1/10/2023 2:27:43 PM"
"Tag - environment","NA","NA","Pass","1/10/2023 2:27:43 PM"
"Tag - Primary-contact-email","keith_weitz@trimble.com","keith_weitz@trimble.com","Pass","1/10/2023 2:27:43 PM"
"Tag - Primary-contact-name","Keith Weitz","Keith Weitz","Pass","1/10/2023 2:27:43 PM"
"Tag - customer | customer-name","12345678","12345678","Pass","1/10/2023 2:27:43 PM"
"Tag - automation-opt-in","no","no","Pass","1/10/2023 2:27:43 PM"
"RGLock","TRUE","True","Pass","1/10/2023 2:27:43 PM"
"IPAddress","172.22.151.71","172.22.151.71","Pass","1/10/2023 2:27:43 PM"
"GuestLevelMonitoring","TRUE","True","Pass","1/10/2023 2:27:43 PM"
"Storage account","hrtstorageaccount","hrtstorageaccount","Pass","1/10/2023 2:27:43 PM"
"BackupVault","hrtrecoveryvault",,"Fail","1/10/2023 2:27:43 PM"
"vNet","Vnet-Eastus2-HRT","Vnet-Eastus2-HRT","Pass","1/10/2023 2:27:43 PM"
"SubnetName","Subnet-Eastus2-HRT","Subnet-Eastus2-HRT","Pass","1/10/2023 2:27:43 PM"
"HybridBenefit","FALSE","False","Pass","1/10/2023 2:27:43 PM"
"ResourceGroup","HRT_Heritage_Transport","HRT_HERITAGE_TRANSPORT","Pass","1/10/2023 2:27:43 PM"
