"Parameter","ExpectedValue","ActualValue","Result","PerformedAt"
"VMName","HRT-SQL01","HRT-SQL01","Pass","1/10/2023 10:58:41 AM"
"CPU","4","4","Pass","1/10/2023 10:58:41 AM"
"MemoryinGB","16","16","Pass","1/10/2023 10:58:41 AM"
"AzureVMType","Standard_D4as_v5","Standard_D4as_v5","Pass","1/10/2023 10:58:41 AM"
"ManagedDisk","TRUE","True","Pass","1/10/2023 10:58:41 AM"
"OSDiskInGB","256","256","Pass","1/10/2023 10:58:41 AM"
"DataDiskInGB","1024","1024","Pass","1/10/2023 10:58:41 AM"
"TempDisk","NA","0","Fail","1/10/2023 10:58:41 AM"
"Operating System","Windows (Windows Server 2012 R2 Standard)"," ","Fail","1/10/2023 10:58:41 AM"
"Tag - Product | product-name","directcloud",,"Fail","1/10/2023 10:58:41 AM"
"Tag - business-unit","tte",,"Fail","1/10/2023 10:58:41 AM"
"Tag - team","css","css","Pass","1/10/2023 10:58:41 AM"
"Tag - billing","prod","prod","Pass","1/10/2023 10:58:41 AM"
"Tag - environment","NA","prod","Fail","1/10/2023 10:58:41 AM"
"Tag - Primary-contact-email","keith_weitz@trimble.com","keith_weitz@trimble.com","Pass","1/10/2023 10:58:41 AM"
"Tag - Primary-contact-name","Keith Weitz","Keith Weitz","Pass","1/10/2023 10:58:41 AM"
"Tag - customer | customer-name","12345678",,"Fail","1/10/2023 10:58:41 AM"
"Tag - automation-opt-in","no","no","Pass","1/10/2023 10:58:41 AM"
"RGLock","TRUE","True","Pass","1/10/2023 10:58:41 AM"
"IPAddress","172.22.151.69","172.22.151.69","Pass","1/10/2023 10:58:41 AM"
"GuestLevelMonitoring","TRUE","True","Pass","1/10/2023 10:58:41 AM"
"Storage account","hrtstorageaccount","hrtstorageaccount","Pass","1/10/2023 10:58:41 AM"
"BackupVault","hrtrecoveryvault","hrtrecoveryvault","Pass","1/10/2023 10:58:41 AM"
"vNet","Vnet-Eastus2-HRT","Vnet-Eastus2-HRT","Pass","1/10/2023 10:58:41 AM"
"SubnetName","Subnet-Eastus2-HRT","Subnet-Eastus2-HRT","Pass","1/10/2023 10:58:41 AM"
"HybridBenefit","FALSE","False","Pass","1/10/2023 10:58:41 AM"
"ResourceGroup","HRT_Heritage_Transport","HRT_HERITAGE_TRANSPORT","Pass","1/10/2023 10:58:41 AM"
