"Parameter","ExpectedValue","ActualValue","Result","PerformedAt"
"VMName","HRT-APP01","HRT-APP01","Pass","1/10/2023 11:12:36 AM"
"CPU","2","2","Pass","1/10/2023 11:12:36 AM"
"MemoryinGB","16","16","Pass","1/10/2023 11:12:36 AM"
"AzureVMType","Standard_E2as_v5","Standard_E2as_v5","Pass","1/10/2023 11:12:36 AM"
"ManagedDisk","TRUE","True","Pass","1/10/2023 11:12:36 AM"
"OSDiskInGB","150","150","Pass","1/10/2023 11:12:36 AM"
"DataDiskInGB","NA","NA","Pass","1/10/2023 11:12:36 AM"
"TempDisk","NA","NA","Pass","1/10/2023 11:12:36 AM"
"Operating System","Windows (Windows Server 2012 R2 Standard)"," ","Fail","1/10/2023 11:12:36 AM"
"Tag - Product | product-name","directcloud",,"Fail","1/10/2023 11:12:36 AM"
"Tag - business-unit","tte","tte","Pass","1/10/2023 11:12:36 AM"
"Tag - team","css","css","Pass","1/10/2023 11:12:36 AM"
"Tag - billing","prod","prod","Pass","1/10/2023 11:12:36 AM"
"Tag - environment","NA","NA","Pass","1/10/2023 11:12:36 AM"
"Tag - Primary-contact-email","keith_weitz@trimble.com","keith_weitz@trimble.com","Pass","1/10/2023 11:12:36 AM"
"Tag - Primary-contact-name","Keith Weitz","Keith Weitz","Pass","1/10/2023 11:12:36 AM"
"Tag - customer | customer-name","12345678","12345678","Pass","1/10/2023 11:12:36 AM"
"Tag - automation-opt-in","no","no","Pass","1/10/2023 11:12:36 AM"
"RGLock","TRUE","True","Pass","1/10/2023 11:12:36 AM"
"IPAddress","172.22.151.71","172.22.151.71","Pass","1/10/2023 11:12:36 AM"
"GuestLevelMonitoring","TRUE","True","Pass","1/10/2023 11:12:36 AM"
"Storage account","hrtstorageaccount","hrtstorageaccount","Pass","1/10/2023 11:12:36 AM"
"BackupVault","hrtrecoveryvault",,"Fail","1/10/2023 11:12:36 AM"
"vNet","Vnet-Eastus2-HRT","Vnet-Eastus2-HRT","Pass","1/10/2023 11:12:36 AM"
"SubnetName","Subnet-Eastus2-HRT","Subnet-Eastus2-HRT","Pass","1/10/2023 11:12:36 AM"
"HybridBenefit","FALSE","False","Pass","1/10/2023 11:12:36 AM"
"ResourceGroup","HRT_Heritage_Transport","HRT_HERITAGE_TRANSPORT","Pass","1/10/2023 11:12:36 AM"
