"Parameter","ExpectedValue","ActualValue","Result","PerformedAt"
"VMName","HRT-SQL01","HRT-SQL01","Pass","1/10/2023 2:34:57 PM"
"CPU","4","4","Pass","1/10/2023 2:34:57 PM"
"MemoryinGB","16","16","Pass","1/10/2023 2:34:57 PM"
"AzureVMType","Standard_D4as_v5","Standard_D4as_v5","Pass","1/10/2023 2:34:57 PM"
"ManagedDisk","TRUE","True","Pass","1/10/2023 2:34:57 PM"
"OSDiskInGB","256","256","Pass","1/10/2023 2:34:57 PM"
"DataDiskInGB","1024","1024","Pass","1/10/2023 2:34:57 PM"
"TempDisk","NA","NA","Pass","1/10/2023 2:34:57 PM"
"Operating System","Windows (Windows Server 2012 R2 Standard)"," ","Fail","1/10/2023 2:34:57 PM"
"Tag - Product | product-name","directcloud",,"Fail","1/10/2023 2:34:57 PM"
"Tag - business-unit","tte",,"Fail","1/10/2023 2:34:57 PM"
"Tag - team","css","css","Pass","1/10/2023 2:34:57 PM"
"Tag - billing","prod","prod","Pass","1/10/2023 2:34:57 PM"
"Tag - environment","NA","NA","Pass","1/10/2023 2:34:57 PM"
"Tag - Primary-contact-email","keith_weitz@trimble.com","keith_weitz@trimble.com","Pass","1/10/2023 2:34:57 PM"
"Tag - Primary-contact-name","Keith Weitz","Keith Weitz","Pass","1/10/2023 2:34:57 PM"
"Tag - customer | customer-name","12345678",,"Fail","1/10/2023 2:34:57 PM"
"Tag - automation-opt-in","no","no","Pass","1/10/2023 2:34:57 PM"
"RGLock","TRUE","True","Pass","1/10/2023 2:34:57 PM"
"IPAddress","172.22.151.69","172.22.151.69","Pass","1/10/2023 2:34:57 PM"
"GuestLevelMonitoring","TRUE","True","Pass","1/10/2023 2:34:57 PM"
"Storage account","hrtstorageaccount","hrtstorageaccount","Pass","1/10/2023 2:34:57 PM"
"BackupVault","hrtrecoveryvault","hrtrecoveryvault","Pass","1/10/2023 2:34:57 PM"
"vNet","Vnet-Eastus2-HRT","Vnet-Eastus2-HRT","Pass","1/10/2023 2:34:57 PM"
"SubnetName","Subnet-Eastus2-HRT","Subnet-Eastus2-HRT","Pass","1/10/2023 2:34:57 PM"
"HybridBenefit","FALSE","False","Pass","1/10/2023 2:34:57 PM"
"ResourceGroup","HRT_Heritage_Transport","HRT_HERITAGE_TRANSPORT","Pass","1/10/2023 2:34:57 PM"
